,alert_id,event_time,asset_id,date
0,05exWW0L1LJ,2019-06-10 06:17:00,519tAsn,2019-06-10
1,05exWW0L1LJ,2019-06-10 06:17:00,9as1um8,2019-06-10
2,05exWW0L1LJ,2019-06-10 06:17:00,H1Y5is8,2019-06-10
3,05exWW0L1LJ,2019-06-11 05:09:14,TATtnhk,2019-06-11
4,05exWW0L1LJ,2019-06-11 05:09:14,CPOuE5I,2019-06-11
5,05exWW0L1LJ,2019-06-11 05:09:14,BJLxoS5,2019-06-11
6,05exWW0L1LJ,2019-06-11 05:09:14,KSV9Deh,2019-06-11
7,05exWW0L1LJ,2019-06-13 01:30:10,V8truZy,2019-06-13
8,05exWW0L1LJ,2019-06-13 01:30:10,mltG6S5,2019-06-13
9,05exWW0L1LJ,2019-06-15 09:34:13,XzXUOZE,2019-06-15
10,05exWW0L1LJ,2019-06-16 09:52:23,RYkQnXn,2019-06-16
11,05exWW0L1LJ,2019-06-16 09:52:23,fN5wUM1,2019-06-16
12,05exWW0L1LJ,2019-06-16 09:52:23,PdKLXzT,2019-06-16
13,05exWW0L1LJ,2019-06-16 09:52:23,w4w4Doc,2019-06-16
14,0ZrX3rIidUB,2019-06-10 08:11:16,ewcaOTO,2019-06-10
15,0ZrX3rIidUB,2019-06-12 22:32:07,0m0yngn,2019-06-12
16,0ZrX3rIidUB,2019-06-12 22:32:07,xmb0IKR,2019-06-12
17,0ZrX3rIidUB,2019-06-12 22:32:07,OyGjpss,2019-06-12
18,0ZrX3rIidUB,2019-06-12 22:32:07,Nftahf7,2019-06-12
19,0ZrX3rIidUB,2019-06-12 22:32:07,klF990V,2019-06-12
20,0ZrX3rIidUB,2019-06-13 11:19:02,lPVaaFA,2019-06-13
21,0ZrX3rIidUB,2019-06-13 11:19:02,WseBCCl,2019-06-13
22,0ZrX3rIidUB,2019-06-14 12:15:44,tZyQHVb,2019-06-14
23,0ZrX3rIidUB,2019-06-14 12:15:44,ZCbjoqx,2019-06-14
24,0ZrX3rIidUB,2019-06-14 12:15:44,dCFREiX,2019-06-14
25,0ZrX3rIidUB,2019-06-17 20:46:09,SS7M7vz,2019-06-17
26,0ZrX3rIidUB,2019-06-17 20:46:09,FJJdVjT,2019-06-17
27,0ZrX3rIidUB,2019-06-17 20:46:09,ZMOR59s,2019-06-17
28,0wtOQkEFagA,2019-06-10 19:30:38,DeGbDhI,2019-06-10
29,0wtOQkEFagA,2019-06-11 07:47:09,keMt53t,2019-06-11
30,0wtOQkEFagA,2019-06-11 07:47:09,7Y2V4nh,2019-06-11
31,0wtOQkEFagA,2019-06-11 07:47:09,9zmWdER,2019-06-11
32,0wtOQkEFagA,2019-06-12 02:48:50,85KIFuk,2019-06-12
33,0wtOQkEFagA,2019-06-12 02:48:50,JcKVyA7,2019-06-12
34,0wtOQkEFagA,2019-06-12 02:48:50,qsYjJkZ,2019-06-12
35,0wtOQkEFagA,2019-06-12 02:48:50,KiAjrDI,2019-06-12
36,0wtOQkEFagA,2019-06-12 02:48:50,x1SZCSN,2019-06-12
37,0wtOQkEFagA,2019-06-15 02:12:43,wQWDwOM,2019-06-15
38,0wtOQkEFagA,2019-06-15 02:12:43,AbJejvO,2019-06-15
39,0wtOQkEFagA,2019-06-15 02:12:43,liKkZdG,2019-06-15
40,0wtOQkEFagA,2019-06-15 02:12:43,eCzjcFg,2019-06-15
41,1AlMxb4jeZ8,2019-06-11 12:46:18,VrE3Mr8,2019-06-11
42,1AlMxb4jeZ8,2019-06-11 12:46:18,Z0SBQ7L,2019-06-11
43,1AlMxb4jeZ8,2019-06-11 12:46:18,aASolix,2019-06-11
44,1AlMxb4jeZ8,2019-06-13 12:33:56,w4PB5xO,2019-06-13
45,1AlMxb4jeZ8,2019-06-13 12:33:56,jO3DIPq,2019-06-13
46,1AlMxb4jeZ8,2019-06-13 12:33:56,F5TB6eb,2019-06-13
47,1AlMxb4jeZ8,2019-06-13 12:33:56,pHjNSIV,2019-06-13
48,1AlMxb4jeZ8,2019-06-14 06:53:58,9DqJDc2,2019-06-14
49,1AlMxb4jeZ8,2019-06-14 06:53:58,YROV0is,2019-06-14
50,1AlMxb4jeZ8,2019-06-14 06:53:58,Yp4dYMz,2019-06-14
51,1AlMxb4jeZ8,2019-06-14 06:53:58,c3VD65G,2019-06-14
52,1AlMxb4jeZ8,2019-06-15 13:54:31,Rx66rN9,2019-06-15
53,1AlMxb4jeZ8,2019-06-15 13:54:31,syUFLUW,2019-06-15
54,1AlMxb4jeZ8,2019-06-15 13:54:31,lsjH2Gc,2019-06-15
55,1AlMxb4jeZ8,2019-06-16 01:31:23,1kAow2r,2019-06-16
56,1AlMxb4jeZ8,2019-06-16 01:31:23,iBsp1Tm,2019-06-16
57,1AlMxb4jeZ8,2019-06-16 01:31:23,RHKCy3G,2019-06-16
58,1AlMxb4jeZ8,2019-06-17 00:50:41,9B543MA,2019-06-17
59,1AlMxb4jeZ8,2019-06-17 00:50:41,RJh5qma,2019-06-17
60,1AlMxb4jeZ8,2019-06-17 00:50:41,AT0MCbB,2019-06-17
61,1AlMxb4jeZ8,2019-06-17 00:50:41,QVnHm1B,2019-06-17
62,1AlMxb4jeZ8,2019-06-17 00:50:41,kI8K1yI,2019-06-17
63,1LUtll0EWsV,2019-06-11 20:57:03,wQKRbrU,2019-06-11
64,1LUtll0EWsV,2019-06-12 09:36:02,WOzpnp8,2019-06-12
65,1LUtll0EWsV,2019-06-13 00:30:18,K5ZZCVR,2019-06-13
